Geneid FLT1.bam FLT2.bam FLT3.bam GC1.bam GC2.bam GC3.bam
ENSMUSG00000117281 11 8 6 4 11 1
ENSMUSG00000117271 36 38 30 24 44 32
ENSMUSG00000117188 0 0 0 0 0 0
ENSMUSG00000046952 12 17 12 26 25 26
ENSMUSG00000117100 0 0 0 0 0 3
ENSMUSG00000117298 21 21 21 24 25 21
ENSMUSG00000077562 0 0 0 0 0 0
ENSMUSG00000117184 0 0 0 0 0 0
ENSMUSG00000117178 0 0 0 0 0 0
ENSMUSG00000117191 0 0 0 0 0 0
ENSMUSG00000101606 0 0 0 0 0 0
ENSMUSG00000064732 0 0 0 0 0 0
ENSMUSG00000117112 2 3 4 1 4 0
ENSMUSG00000117134 0 0 0 0 0 0
ENSMUSG00000117288 0 0 0 0 0 0
ENSMUSG00000117036 0 0 0 0 0 0
ENSMUSG00000117320 0 0 0 0 0 0
ENSMUSG00002076265 0 0 0 0 0 0
ENSMUSG00000093761 0 0 0 0 0 0
ENSMUSG00000117016 0 0 0 0 0 0
ENSMUSG00000098123 471 496 465 643 570 575
ENSMUSG00000098156 4 6 0 6 0 2
ENSMUSG00000117160 0 0 0 0 0 0
ENSMUSG00000117066 0 0 0 0 0 0
ENSMUSG00000064570 1 0 0 1 2 0
ENSMUSG00000048915 102 74 85 81 66 81
ENSMUSG00000023965 218 280 257 223 262 246
ENSMUSG00002075126 0 0 0 0 0 0
ENSMUSG00000088853 0 0 0 0 0 0
ENSMUSG00000090565 3 0 0 1 0 1
ENSMUSG00000091426 158 156 146 145 164 151
ENSMUSG00002074993 0 0 3 1 2 1
ENSMUSG00000000127 91 78 88 110 69 93
ENSMUSG00000024083 379 380 369 415 407 387
ENSMUSG00002076004 0 0 0 0 0 0
ENSMUSG00000098984 0 0 0 0 0 0
ENSMUSG00000073377 0 0 0 0 0 0
ENSMUSG00000024085 2363 2170 2287 4440 4304 4342
ENSMUSG00000091160 4 5 0 3 8 9
ENSMUSG00000117105 6 1 2 5 7 5
ENSMUSG00000024088 0 0 0 0 0 0
ENSMUSG00000117203 0 0 0 3 2 0
ENSMUSG00000077691 0 0 0 0 0 0
ENSMUSG00000117336 0 0 0 0 0 0
ENSMUSG00000045036 0 0 0 0 0 0
ENSMUSG00000117012 0 0 0 0 0 0
ENSMUSG00000117299 11 9 13 12 9 10
ENSMUSG00000117300 8 12 9 5 9 8
ENSMUSG00002076584 0 0 0 0 0 0
ENSMUSG00000117140 0 0 1 0 0 0
ENSMUSG00000117158 20 25 22 18 16 17
ENSMUSG00000024091 619 638 573 680 677 594
ENSMUSG00000050612 0 0 0 0 0 0
ENSMUSG00000056515 42 47 63 51 70 50
ENSMUSG00000117114 33 22 27 35 31 18
ENSMUSG00000061950 248 218 209 252 202 234
ENSMUSG00000024096 268 268 268 356 279 316
ENSMUSG00000117335 0 5 2 1 1 5
ENSMUSG00000117250 4 3 3 2 1 4
ENSMUSG00000117229 0 0 0 0 0 0
ENSMUSG00000024098 408 460 438 437 452 504
ENSMUSG00000034647 228 211 194 179 239 200
ENSMUSG00000117074 258 258 245 256 215 244
ENSMUSG00000024099 747 743 673 981 930 912
ENSMUSG00000119004 1 2 0 1 1 2
ENSMUSG00000117321 4 7 0 0 1 1
ENSMUSG00000024101 156 177 160 156 158 168
ENSMUSG00000035842 84 65 52 48 35 43
ENSMUSG00000117253 0 0 0 0 0 0
ENSMUSG00000117312 0 0 0 0 4 0
ENSMUSG00000117296 0 0 0 0 0 0
ENSMUSG00000117246 2 3 6 2 6 10
ENSMUSG00000117220 0 1 0 0 0 0
ENSMUSG00000117010 38 21 33 15 26 34
ENSMUSG00000052105 10 17 2 8 6 10
ENSMUSG00000093686 384 355 361 416 399 385
ENSMUSG00000024105 0 0 0 0 0 0
ENSMUSG00000117186 0 0 0 0 0 0
ENSMUSG00000033278 53 53 52 55 38 42
ENSMUSG00000117065 0 0 0 0 0 0
ENSMUSG00000114563 0 1 0 0 0 0
ENSMUSG00000114291 0 0 0 0 0 0
ENSMUSG00000117174 0 0 0 0 0 0
ENSMUSG00000117166 0 0 0 0 0 0
ENSMUSG00000117329 0 0 0 0 0 0
ENSMUSG00000117224 0 0 0 0 0 0
ENSMUSG00000117332 0 0 0 0 0 0
ENSMUSG00000114492 0 0 0 0 1 0
ENSMUSG00000093508 1 0 1 1 0 0
ENSMUSG00002075726 0 0 0 0 0 0
ENSMUSG00000117029 0 0 0 0 0 0
ENSMUSG00000073375 0 0 0 0 0 0
ENSMUSG00000032796 55 44 55 51 47 48
ENSMUSG00000116896 1 0 0 2 8 1
ENSMUSG00000068141 8 12 14 26 16 13
ENSMUSG00000089690 0 0 0 0 0 0
ENSMUSG00000044697 20 21 17 19 23 22
ENSMUSG00000088244 4 14 5 9 13 13
ENSMUSG00000116817 0 0 0 3 0 1
ENSMUSG00000116779 7 5 7 2 2 3
ENSMUSG00000046201 222 239 213 241 300 262
ENSMUSG00000116596 0 0 0 0 0 0
ENSMUSG00000024043 8 11 0 7 6 6
ENSMUSG00000116941 62 44 54 67 44 51
ENSMUSG00000090955 0 0 0 0 0 1
ENSMUSG00000116858 10 16 12 28 23 35
ENSMUSG00000117243 0 0 0 0 0 0
ENSMUSG00000117208 0 0 0 0 0 0
ENSMUSG00000116874 0 0 0 0 0 0
ENSMUSG00000116838 3 6 5 9 10 15
ENSMUSG00000117193 0 0 0 0 0 0
ENSMUSG00000095407 0 0 0 0 0 0
ENSMUSG00000117004 0 0 0 0 0 0
ENSMUSG00000117093 0 0 0 0 0 0
ENSMUSG00000023800 122 117 117 85 88 79
ENSMUSG00000115330 0 0 0 0 0 0
ENSMUSG00000036983 61 68 53 70 53 69
ENSMUSG00000023802 0 0 0 0 0 0
ENSMUSG00000116975 0 1 0 0 0 0
ENSMUSG00000116615 0 0 0 0 0 0
ENSMUSG00000116767 0 0 0 0 0 0
ENSMUSG00000118855 0 0 0 0 0 0
ENSMUSG00000116649 0 0 0 0 0 0
ENSMUSG00000116813 0 0 0 0 0 0
ENSMUSG00000116620 149 150 152 161 153 147
ENSMUSG00000116551 0 0 0 3 1 3
ENSMUSG00000069729 393 449 425 361 355 396
ENSMUSG00000081783 98 101 113 85 94 99
ENSMUSG00000101133 0 0 0 4 1 5
ENSMUSG00000004945 241 264 246 276 297 297
ENSMUSG00000101959 0 0 0 0 0 0
ENSMUSG00002075241 0 0 0 0 0 0
ENSMUSG00000116691 8 5 11 10 8 6
ENSMUSG00000034265 21 21 20 32 22 21
ENSMUSG00000068120 695 667 639 795 768 757
ENSMUSG00000097186 0 0 1 0 0 0
ENSMUSG00000096962 0 0 1 0 0 0
ENSMUSG00000002365 599 569 566 758 673 687
ENSMUSG00000116734 0 0 0 0 0 0
ENSMUSG00000024044 25 22 21 20 4 8
ENSMUSG00000100572 0 0 0 1 0 0
ENSMUSG00000117323 0 0 0 0 0 0
ENSMUSG00000117069 0 0 0 2 5 1
ENSMUSG00000049672 136 126 135 144 155 190
ENSMUSG00000096988 3 2 2 0 1 1
ENSMUSG00000091636 0 0 0 0 0 0
ENSMUSG00000117053 0 0 0 0 0 0
ENSMUSG00000117122 0 0 0 0 0 0
ENSMUSG00000117071 1 0 0 1 0 0
ENSMUSG00002076618 0 0 0 0 0 0
ENSMUSG00000117124 0 0 0 0 0 0
ENSMUSG00000117233 0 0 0 0 0 0
ENSMUSG00000117078 0 0 0 0 0 0
ENSMUSG00000024169 112 119 106 128 118 107
ENSMUSG00000023805 52 40 32 41 39 56
ENSMUSG00000003279 58 46 45 29 33 33
ENSMUSG00000097282 3 1 0 0 0 0
ENSMUSG00000117231 2 2 0 0 1 0
ENSMUSG00000015659 44 64 48 28 38 32
ENSMUSG00000034345 171 205 168 230 193 199
ENSMUSG00000047407 104 127 114 136 142 131
ENSMUSG00000080468 0 0 0 0 0 0
ENSMUSG00000117121 0 2 3 0 0 1
ENSMUSG00000117156 0 0 0 0 0 0
ENSMUSG00000066983 329 342 339 387 389 311
ENSMUSG00000117200 1 0 0 0 0 0
ENSMUSG00000117079 11 6 14 4 2 2
ENSMUSG00000034868 42 37 61 48 37 58
ENSMUSG00000117098 0 0 0 0 0 0
ENSMUSG00000034377 215 200 240 235 203 202
ENSMUSG00000051639 0 0 0 0 0 0
ENSMUSG00002074878 1096 1033 1052 1183 1131 1193
ENSMUSG00000058542 14348 13781 13243 15442 14962 14903
ENSMUSG00002075503 0 0 0 0 0 0
ENSMUSG00000095869 0 0 1 0 0 0
ENSMUSG00000024048 205 199 192 212 217 218
ENSMUSG00000038141 22 10 13 19 17 19
ENSMUSG00000092074 3 1 4 2 3 3
ENSMUSG00000118494 0 0 0 0 0 0
ENSMUSG00000094843 1 0 0 0 0 0
ENSMUSG00000116812 1 0 1 0 1 0
ENSMUSG00000116921 0 0 0 0 0 0
ENSMUSG00000116719 0 0 0 0 0 0
ENSMUSG00000116992 0 0 0 0 0 0
ENSMUSG00000096255 0 2 0 0 0 0
ENSMUSG00000116560 4 1 4 1 0 1
ENSMUSG00000116868 0 0 0 0 0 0
ENSMUSG00000000579 1 6 0 2 2 1
ENSMUSG00000093880 2 0 0 0 0 0
ENSMUSG00000095677 3 5 7 1 0 3
ENSMUSG00000041831 2 2 0 3 3 6
ENSMUSG00000052397 103 93 83 80 94 95
ENSMUSG00000116893 24 22 27 27 35 23
ENSMUSG00000076218 120 120 109 106 110 88
ENSMUSG00000099735 0 0 0 0 0 0
ENSMUSG00000023806 75 66 60 95 80 141
ENSMUSG00000024049 8 11 10 15 14 21
ENSMUSG00000117315 0 0 0 0 0 0
ENSMUSG00000117276 0 0 0 0 0 0
ENSMUSG00000024052 3222 3168 3179 4983 5071 4912
ENSMUSG00000024053 27 53 28 28 37 37
ENSMUSG00000117137 0 0 0 0 0 0
ENSMUSG00000117199 0 0 0 0 0 0
ENSMUSG00000024054 164 173 144 222 192 156
